latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-3.384,-50.431,309.9,4.8,2,2019-10-01,0110,Terra,MODIS,79,6.0NRT,291.5,79.3,N
-3.251,-50.25,304.6,4.6,2,2019-10-01,0110,Terra,MODIS,61,6.0NRT,291.8,42.6,N
-3.25,-50.242,304.6,4.6,2,2019-10-01,0110,Terra,MODIS,61,6.0NRT,291.8,42.9,N
-3.386,-50.435,307.3,4.8,2,2019-10-01,0110,Terra,MODIS,54,6.0NRT,291.5,56.8,N
-3.38,-50.393,302.5,4.7,2,2019-10-01,0110,Terra,MODIS,14,6.0NRT,291.4,30.5,N
-11.633,-54.136,302.7,3.2,1.7,2019-10-01,0245,Terra,MODIS,50,6.0NRT,289.8,22.4,N
-11.702,-57.347,328.8,1.8,1.3,2019-10-01,0245,Terra,MODIS,100,6.0NRT,284.1,63,N
-11.699,-57.33,304.4,1.8,1.3,2019-10-01,0245,Terra,MODIS,24,6.0NRT,282.9,11.7,N
-11.698,-57.358,304.7,1.8,1.3,2019-10-01,0245,Terra,MODIS,50,6.0NRT,284.7,12.5,N
-11.696,-57.342,322.2,1.8,1.3,2019-10-01,0245,Terra,MODIS,100,6.0NRT,283.4,46,N
-11.707,-57.34,309.1,1.8,1.3,2019-10-01,0245,Terra,MODIS,76,6.0NRT,284.9,20.2,N
-11.364,-55.145,300.5,2.7,1.6,2019-10-01,0245,Terra,MODIS,30,6.0NRT,281,15.9,N
-11.378,-55.143,302.6,2.7,1.6,2019-10-01,0245,Terra,MODIS,50,6.0NRT,281.2,21.2,N
-11.335,-54.269,304.9,3.2,1.7,2019-10-01,0245,Terra,MODIS,62,6.0NRT,286,32.9,N
-11.332,-54.263,308.2,3.2,1.7,2019-10-01,0245,Terra,MODIS,74,6.0NRT,286.2,41,N
-11.704,-54.905,300.1,2.8,1.6,2019-10-01,0245,Terra,MODIS,17,6.0NRT,283,17.3,N
-14.71,-57.398,311,1.6,1.2,2019-10-01,0245,Terra,MODIS,81,6.0NRT,293.2,15.9,N
-14.062,-55.79,301.1,2.1,1.4,2019-10-01,0245,Terra,MODIS,35,6.0NRT,288.5,14.2,N
-14.984,-65.965,315,1.4,1.2,2019-10-01,0245,Terra,MODIS,90,6.0NRT,283.7,20.6,N
-14.973,-65.966,305.4,1.4,1.2,2019-10-01,0245,Terra,MODIS,64,6.0NRT,284,9.7,N
-11.651,-54.156,301.9,3.2,1.7,2019-10-01,0245,Terra,MODIS,45,6.0NRT,289.6,21.3,N
-11.636,-54.159,313.2,3.2,1.7,2019-10-01,0245,Terra,MODIS,87,6.0NRT,289.8,60.5,N
-11.638,-54.165,313.5,3.2,1.7,2019-10-01,0245,Terra,MODIS,87,6.0NRT,289.7,61.4,N
-6.292,-62.749,304.1,1,1,2019-10-01,0245,Terra,MODIS,44,6.0NRT,277.7,5.7,N
-6.301,-62.747,301.6,1,1,2019-10-01,0245,Terra,MODIS,9,6.0NRT,278,3.9,N
-10.13,-53.457,302.3,3.8,1.8,2019-10-01,0245,Terra,MODIS,48,6.0NRT,286.5,34,N
-10.135,-53.451,300.8,3.8,1.8,2019-10-01,0245,Terra,MODIS,33,6.0NRT,286.4,27.9,N
-10.604,-55.534,308.3,2.6,1.6,2019-10-01,0245,Terra,MODIS,74,6.0NRT,287.2,31.8,N
-11.302,-57.523,303.6,1.8,1.3,2019-10-01,0245,Terra,MODIS,53,6.0NRT,287.7,10.3,N
-11.313,-57.521,302.2,1.8,1.3,2019-10-01,0245,Terra,MODIS,27,6.0NRT,287.8,9.1,N
-11.311,-57.505,302,1.8,1.3,2019-10-01,0245,Terra,MODIS,17,6.0NRT,288.1,9.2,N
